ID,Site,Treatment,Position,Year,Comp.1,Comp.2
1,1,Control,Upper,2022,1.5298011140878653,-1.6951275851678376
2,1,Control,Bottom,2022,7.301111494096578,-0.5903643850070351
3,3,Control,Upper,2022,2.5960173945174483,-1.1402041768903841
4,3,Control,Bottom,2022,9.960145485486315,2.001947973370985
5,5,Control,Upper,2022,0.35275903487830024,-0.39220362659533714
6,5,Control,Bottom,2022,4.754146509197339,2.541726164007962
7,7,Control,Upper,2022,13.099799317841539,-0.6329549211813149
8,7,Control,Bottom,2022,8.567314628436582,-0.08946265114264243
9,1,Control,Upper,2023,0.8016950051794843,-1.525694575727875
10,1,Control,Bottom,2023,6.236794319569052,-1.5387451197903317
11,3,Control,Upper,2023,8.273845883830866,-2.6379646311658544
12,3,Control,Bottom,2023,1.5112285644613561,0.4522656565439088
13,5,Control,Upper,2023,-0.09930375107002881,1.0373706271211063
14,5,Control,Bottom,2023,1.3986808530804604,2.256647542746709
15,7,Control,Upper,2023,5.775355915326934,-1.5557041084580083
16,7,Control,Bottom,2023,4.875899613942538,-1.2929572449933704
17,1,Control,Upper,2024,0.6412708001053488,-1.1983441904115713
18,1,Control,Bottom,2024,7.932564005877299,-1.560186428180233
19,3,Control,Bottom,2024,1.6985641945426067,0.31431451125159776
20,5,Control,Upper,2024,0.52578524883836,0.8105404152172768
21,5,Control,Bottom,2024,1.793212833429552,2.527956184716797
22,7,Control,Upper,2024,7.106269361342357,1.6047183487555012
23,7,Control,Bottom,2024,8.110877680570946,-0.453269450797193
24,1,Cleared,Upper,2022,0.6162635567865566,-1.0452570523347582
25,1,Cleared,Bottom,2022,1.1842385806626763,-1.3168889025665687
26,2,Cleared,Upper,2022,-0.030410567363676685,-1.826347086884013
27,2,Cleared,Bottom,2022,0.9200327955909975,-1.6589322982126942
28,5,Cleared,Upper,2022,-1.049484010402903,-0.8836048421699261
29,5,Cleared,Bottom,2022,0.07003742364912155,1.535110641932867
30,6,Cleared,Upper,2022,1.6682830113301121,-0.09401178198893276
31,6,Cleared,Bottom,2022,0.06616152178257327,2.6663951934473014
32,7,Cleared,Upper,2022,-0.4727643825496729,-0.05444008825088329
33,7,Cleared,Bottom,2022,-0.7383436954240232,-0.4278658313432976
34,8,Cleared,Upper,2022,-0.5848636362263631,-1.3958877837977735
